question,q1,q2,q3,q4,answer,reason,image
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris,Paris is the capital and largest city of France.,https://drive.google.com/file/d/1xteo9yqe829TtChXSv1f3MskQcw4C9R2/view?usp=sharing
Which planet is known as the Red Planet?,Earth,Venus,Mars,Jupiter,Mars,Mars is known as the Red Planet due to its reddish appearance.,
What is the boiling point of water?,90°C,100°C,110°C,120°C,100°C,Water boils at 100°C under standard atmospheric pressure.,
Who wrote 'Hamlet'?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare,William Shakespeare is the author of 'Hamlet'.,
What is the largest mammal?,Elephant,Blue Whale,Giraffe,Rhinoceros,Blue Whale,The Blue Whale is the largest mammal on Earth.,
What is the smallest prime number?,0,1,2,3,2,2 is the smallest prime number.,
Which element has the chemical symbol 'O'?,Oxygen,Gold,Iron,Silver,Oxygen,Oxygen has the chemical symbol 'O'.,
What is the main ingredient in guacamole?,Potato,Tomato,Avocado,Cucumber,Avocado,Guacamole is primarily made from avocados.,
Who painted the Mona Lisa?,Vincent Van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Leonardo da Vinci,Leonardo da Vinci painted the Mona Lisa.,
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,Jupiter,Jupiter is the largest planet in our solar system.,